,code,term
533,C94X,Other leukaemias of specified cell type
534,C940,Acute erythroid leukaemia
535,C942,Acute megakaryoblastic leukaemia
536,C943,Mast cell leukaemia
537,C944,Acute panmyelosis with myelofibrosis
538,C946,"Myelodysplastic and myeloproliferative disease, not elsewhere classified"
539,C947,Other specified leukaemias
540,C95X,Leukaemia of unspecified cell type
541,C950,Acute leukaemia of unspecified cell type
542,C951,Chronic leukaemia of unspecified cell type
543,C957,Other leukaemia of unspecified cell type
544,C959,"Leukaemia, unspecified"
545,C96X,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
546,C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease]
547,C962,Malignant mast cell tumour
548,C964,Sarcoma of dendritic cells (accessory cells)
549,C965,Multifocal and unisystemic Langerhans-cell histiocytosis
550,C966,Unifocal Langerhans-cell histiocytosis
551,C967,"Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue"
552,C968,Histiocytic sarcoma
553,C969,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified"
554,C97X,Malignant neoplasms of independent (primary) multiple sites
555,C97-C97,Malignant neoplasms of independent (primary) multiple sites
556,D00X,"Carcinoma in situ of oral cavity, oesophagus and stomach"
557,D00-D09,In situ neoplasms
558,D000,"Carcinoma in situ: Lip, oral cavity and pharynx"
559,D001,Carcinoma in situ: Oesophagus
560,D002,Carcinoma in situ: Stomach
561,D01X,Carcinoma in situ of other and unspecified digestive organs
562,D010,Carcinoma in situ: Colon
563,D011,Carcinoma in situ: Rectosigmoid junction
564,D012,Carcinoma in situ: Rectum
565,D013,Carcinoma in situ: Anus and anal canal
566,D014,Carcinoma in situ: Other and unspecified parts of intestine
567,D015,"Carcinoma in situ: Liver, gallbladder and bile ducts"
568,D017,Carcinoma in situ: Other specified digestive organs
569,D019,"Carcinoma in situ: Digestive organ, unspecified"
570,D02X,Carcinoma in situ of middle ear and respiratory system
571,D020,Carcinoma in situ: Larynx
572,D021,Carcinoma in situ: Trachea
573,D022,Carcinoma in situ: Bronchus and lung
574,D023,Carcinoma in situ: Other parts of respiratory system
575,D024,"Carcinoma in situ: Respiratory system, unspecified"
576,D03X,Melanoma in situ
577,D030,Melanoma in situ of lip
578,D031,"Melanoma in situ of eyelid, including canthus"
579,D032,Melanoma in situ of ear and external auricular canal
580,D033,Melanoma in situ of other and unspecified parts of face
581,D034,Melanoma in situ of scalp and neck
582,D035,Melanoma in situ of trunk
583,D036,"Melanoma in situ of upper limb, including shoulder"
584,D037,"Melanoma in situ of lower limb, including hip"
585,D038,Melanoma in situ of other sites
586,D039,"Melanoma in situ, unspecified"
587,D04X,Carcinoma in situ of skin
588,D040,Carcinoma in situ: Skin of lip
589,D041,"Carcinoma in situ: Skin of eyelid, including canthus"
590,D042,Carcinoma in situ: Skin of ear and external auricular canal
591,D043,Carcinoma in situ: Skin of other and unspecified parts of face
592,D044,Carcinoma in situ: Skin of scalp and neck
593,D045,Carcinoma in situ: Skin of trunk
594,D046,"Carcinoma in situ: Skin of upper limb, including shoulder"
595,D047,"Carcinoma in situ: Skin of lower limb, including hip"
596,D048,Carcinoma in situ: Skin of other sites
597,D049,"Carcinoma in situ: Skin, unspecified"
598,D05X,Carcinoma in situ of breast
599,D050,Lobular carcinoma in situ
600,D051,Intraductal carcinoma in situ
601,D057,Other carcinoma in situ of breast
602,D059,"Carcinoma in situ of breast, unspecified"
603,D06X,Carcinoma in situ of cervix uteri
604,D060,Carcinoma in situ: Endocervix
605,D061,Carcinoma in situ: Exocervix
606,D067,Carcinoma in situ: Other parts of cervix
607,D069,"Carcinoma in situ: Cervix, unspecified"
608,D07X,Carcinoma in situ of other and unspecified genital organs
609,D070,Carcinoma in situ: Endometrium
610,D071,Carcinoma in situ: Vulva
611,D072,Carcinoma in situ: Vagina
612,D073,Carcinoma in situ: Other and unspecified female genital organs
613,D074,Carcinoma in situ: Penis
614,D075,Carcinoma in situ: Prostate
615,D076,Carcinoma in situ: Other and unspecified male genital organs
616,D09X,Carcinoma in situ of other and unspecified sites
617,D090,Carcinoma in situ: Bladder
618,D091,Carcinoma in situ: Other and unspecified urinary organs
619,D092,Carcinoma in situ: Eye
620,D093,Carcinoma in situ: Thyroid and other endocrine glands
621,D097,Carcinoma in situ of other specified sites
622,D099,"Carcinoma in situ, unspecified"
623,D10X,Benign neoplasm of mouth and pharynx
624,D10-D36,Benign neoplasms
625,D100,Benign neoplasm: Lip
626,D101,Benign neoplasm: Tongue
627,D102,Benign neoplasm: Floor of mouth
628,D103,Benign neoplasm: Other and unspecified parts of mouth
629,D104,Benign neoplasm: Tonsil
630,D105,Benign neoplasm: Other parts of oropharynx
631,D106,Benign neoplasm: Nasopharynx
632,D107,Benign neoplasm: Hypopharynx
633,D109,"Benign neoplasm: Pharynx, unspecified"
634,D11X,Benign neoplasm of major salivary glands
635,D110,Benign neoplasm: Parotid gland
636,D117,Benign neoplasm: Other major salivary glands
637,D119,"Benign neoplasm: Major salivary gland, unspecified"
638,D12X,"Benign neoplasm of colon, rectum, anus and anal canal"
639,D120,Benign neoplasm: Caecum
640,D121,Benign neoplasm: Appendix
641,D122,Benign neoplasm: Ascending colon
642,D123,Benign neoplasm: Transverse colon
643,D124,Benign neoplasm: Descending colon
644,D125,Benign neoplasm: Sigmoid colon
645,D126,"Benign neoplasm: Colon, unspecified"
646,D127,Benign neoplasm: Rectosigmoid junction
647,D128,Benign neoplasm: Rectum
648,D129,Benign neoplasm: Anus and anal canal
649,D13X,Benign neoplasm of other and ill-defined parts of digestive system
650,D130,Benign neoplasm: Oesophagus
651,D131,Benign neoplasm: Stomach
652,D132,Benign neoplasm: Duodenum
653,D133,Benign neoplasm: Other and unspecified parts of small intestine
654,D134,Benign neoplasm: Liver
655,D135,Benign neoplasm: Extrahepatic bile ducts
656,D136,Benign neoplasm: Pancreas
657,D137,Benign neoplasm: Endocrine pancreas
658,D139,Benign neoplasm: Ill-defined sites within the digestive system
659,D14X,Benign neoplasm of middle ear and respiratory system
660,D140,"Benign neoplasm: Middle ear, nasal cavity and accessory sinuses"
661,D141,Benign neoplasm: Larynx
662,D142,Benign neoplasm: Trachea
663,D143,Benign neoplasm: Bronchus and lung
664,D144,"Benign neoplasm: Respiratory system, unspecified"
665,D15X,Benign neoplasm of other and unspecified intrathoracic organs
666,D150,Benign neoplasm: Thymus
667,D151,Benign neoplasm: Heart
668,D152,Benign neoplasm: Mediastinum
669,D157,Benign neoplasm: Other specified intrathoracic organs
670,D159,"Benign neoplasm: Intrathoracic organ, unspecified"
671,D16X,Benign neoplasm of bone and articular cartilage
672,D160,Benign neoplasm: Scapula and long bones of upper limb
673,D161,Benign neoplasm: Short bones of upper limb
674,D162,Benign neoplasm: Long bones of lower limb
675,D163,Benign neoplasm: Short bones of lower limb
676,D164,Benign neoplasm: Bones of skull and face
677,D165,Benign neoplasm: Lower jaw bone
678,D166,Benign neoplasm: Vertebral column
679,D167,"Benign neoplasm: Ribs, sternum and clavicle"
680,D168,"Benign neoplasm: Pelvic bones, sacrum and coccyx"
681,D169,"Benign neoplasm: Bone and articular cartilage, unspecified"
682,D17X,Benign lipomatous neoplasm
683,D170,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
684,D171,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
685,D172,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs
686,D173,Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites
687,D174,Benign lipomatous neoplasm of intrathoracic organs
688,D175,Benign lipomatous neoplasm of intra-abdominal organs
689,D176,Benign lipomatous neoplasm of spermatic cord
690,D177,Benign lipomatous neoplasm of other sites
691,D179,"Benign lipomatous neoplasm, unspecified"
692,D18X,"Haemangioma and lymphangioma, any site"
693,D180,"Haemangioma, any site"
694,D181,"Lymphangioma, any site"
695,D19X,Benign neoplasm of mesothelial tissue
696,D190,Benign neoplasm: Mesothelial tissue of pleura
697,D191,Benign neoplasm: Mesothelial tissue of peritoneum
698,D197,Benign neoplasm: Mesothelial tissue of other sites
699,D199,"Benign neoplasm: Mesothelial tissue, unspecified"
700,D20X,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
701,D200,Benign neoplasm: Retroperitoneum
702,D201,Benign neoplasm: Peritoneum
703,D21X,Other benign neoplasms of connective and other soft tissue
704,D210,"Benign neoplasm: Connective and other soft tissue of head, face and neck"
705,D211,"Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder"
706,D212,"Benign neoplasm: Connective and other soft tissue of lower limb, including hip"
707,D213,Benign neoplasm: Connective and other soft tissue of thorax
708,D214,Benign neoplasm: Connective and other soft tissue of abdomen
709,D215,Benign neoplasm: Connective and other soft tissue of pelvis
710,D216,"Benign neoplasm: Connective and other soft tissue of trunk, unspecified"
711,D219,"Benign neoplasm: Connective and other soft tissue, unspecified"
712,D22X,Melanocytic naevi
713,D220,Melanocytic naevi of lip
714,D221,"Melanocytic naevi of eyelid, including canthus"
715,D222,Melanocytic naevi of ear and external auricular canal
716,D223,Melanocytic naevi of other and unspecified parts of face
717,D224,Melanocytic naevi of scalp and neck
718,D225,Melanocytic naevi of trunk
719,D226,"Melanocytic naevi of upper limb, including shoulder"
720,D227,"Melanocytic naevi of lower limb, including hip"
721,D229,"Melanocytic naevi, unspecified"
722,D23X,Other benign neoplasms of skin
723,D230,Benign neoplasm: Skin of lip
724,D231,"Benign neoplasm: Skin of eyelid, including canthus"
725,D232,Benign neoplasm: Skin of ear and external auricular canal
726,D233,Benign neoplasm: Skin of other and unspecified parts of face
727,D234,Benign neoplasm: Skin of scalp and neck
728,D235,Benign neoplasm: Skin of trunk
729,D236,"Benign neoplasm: Skin of upper limb, including shoulder"
730,D237,"Benign neoplasm: Skin of lower limb, including hip"
731,D239,"Benign neoplasm: Skin, unspecified"
732,D24X,Benign neoplasm of breast
733,D25X,Leiomyoma of uterus
734,D250,Submucous leiomyoma of uterus
735,D251,Intramural leiomyoma of uterus
736,D252,Subserosal leiomyoma of uterus
737,D259,"Leiomyoma of uterus, unspecified"
738,D26X,Other benign neoplasms of uterus
739,D260,Other benign neoplasm: Cervix uteri
740,D261,Other benign neoplasm: Corpus uteri
741,D267,Other benign neoplasm: Other parts of uterus
742,D269,"Other benign neoplasm: Uterus, unspecified"
743,D27X,Benign neoplasm of ovary
744,D28X,Benign neoplasm of other and unspecified female genital organs
745,D280,Benign neoplasm: Vulva
746,D281,Benign neoplasm: Vagina
747,D282,Benign neoplasm: Uterine tubes and ligaments
748,D287,Benign neoplasm: Other specified female genital organs
749,D289,"Benign neoplasm: Female genital organ, unspecified"
750,D29X,Benign neoplasm of male genital organs
751,D290,Benign neoplasm: Penis
752,D291,Benign neoplasm: Prostate
753,D292,Benign neoplasm: Testis
754,D293,Benign neoplasm: Epididymis
755,D294,Benign neoplasm: Scrotum
756,D297,Benign neoplasm: Other male genital organs
757,D299,"Benign neoplasm: Male genital organ, unspecified"
758,D30X,Benign neoplasm of urinary organs
759,D300,Benign neoplasm: Kidney
760,D301,Benign neoplasm: Renal pelvis
761,D302,Benign neoplasm: Ureter
762,D303,Benign neoplasm: Bladder
763,D304,Benign neoplasm: Urethra
764,D307,Benign neoplasm: Other urinary organs
765,D309,"Benign neoplasm: Urinary organ, unspecified"
766,D31X,Benign neoplasm of eye and adnexa
767,D310,Benign neoplasm: Conjunctiva
768,D311,Benign neoplasm: Cornea
769,D312,Benign neoplasm: Retina
770,D313,Benign neoplasm: Choroid
771,D314,Benign neoplasm: Ciliary body
772,D315,Benign neoplasm: Lacrimal gland and duct
773,D316,"Benign neoplasm: Orbit, unspecified"
774,D319,"Benign neoplasm: Eye, unspecified"
775,D32X,Benign neoplasm of meninges
776,D320,Benign neoplasm: Cerebral meninges
777,D321,Benign neoplasm: Spinal meninges
778,D329,"Benign neoplasm: Meninges, unspecified"
779,D33X,Benign neoplasm of brain and other parts of central nervous system
780,D330,"Benign neoplasm: Brain, supratentorial"
781,D331,"Benign neoplasm: Brain, infratentorial"
782,D332,"Benign neoplasm: Brain, unspecified"
783,D333,Benign neoplasm: Cranial nerves
784,D334,Benign neoplasm: Spinal cord
785,D337,Benign neoplasm: Other specified parts of central nervous system
786,D339,"Benign neoplasm: Central nervous system, unspecified"
787,D34X,Benign neoplasm of thyroid gland
788,D35X,Benign neoplasm of other and unspecified endocrine glands
789,D350,Benign neoplasm: Adrenal gland
790,D351,Benign neoplasm: Parathyroid gland
791,D352,Benign neoplasm: Pituitary gland
792,D353,Benign neoplasm: Craniopharyngeal duct
793,D354,Benign neoplasm: Pineal gland
794,D355,Benign neoplasm: Carotid body
795,D356,Benign neoplasm: Aortic body and other paraganglia
796,D357,Benign neoplasm: Other specified endocrine glands
797,D358,Benign neoplasm: Pluriglandular involvement
798,D359,"Benign neoplasm: Endocrine gland, unspecified"
799,D36X,Benign neoplasm of other and unspecified sites
800,D360,Benign neoplasm: Lymph nodes
801,D361,Benign neoplasm: Peripheral nerves and autonomic nervous system
802,D367,Benign neoplasm: Other specified sites
803,D369,Benign neoplasm: Benign neoplasm of unspecified site
804,D37X,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
805,D37-D48,Neoplasms of uncertain or unknown behaviour
806,D370,"Neoplasm of uncertain or unknown behaviour: Lip, oral cavity and pharynx"
807,D371,Neoplasm of uncertain or unknown behaviour: Stomach
808,D372,Neoplasm of uncertain or unknown behaviour: Small intestine
809,D373,Neoplasm of uncertain or unknown behaviour: Appendix
810,D374,Neoplasm of uncertain or unknown behaviour: Colon
811,D375,Neoplasm of uncertain or unknown behaviour: Rectum
812,D376,"Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts"
813,D377,Neoplasm of uncertain or unknown behaviour: Other digestive organs
814,D379,"Neoplasm of uncertain or unknown behaviour: Digestive organ, unspecified"
815,D38X,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
816,D380,Neoplasm of uncertain or unknown behaviour: Larynx
817,D381,"Neoplasm of uncertain or unknown behaviour: Trachea, bronchus and lung"
818,D382,Neoplasm of uncertain or unknown behaviour: Pleura
819,D383,Neoplasm of uncertain or unknown behaviour: Mediastinum
820,D384,Neoplasm of uncertain or unknown behaviour: Thymus
821,D385,Neoplasm of uncertain or unknown behaviour: Other respiratory organs
822,D386,"Neoplasm of uncertain or unknown behaviour: Respiratory organ, unspecified"
823,D39X,Neoplasm of uncertain or unknown behaviour of female genital organs
824,D390,Neoplasm of uncertain or unknown behaviour: Uterus
825,D391,Neoplasm of uncertain or unknown behaviour: Ovary
826,D392,Neoplasm of uncertain or unknown behaviour: Placenta
827,D397,Neoplasm of uncertain or unknown behaviour: Other female genital organs
828,D399,"Neoplasm of uncertain or unknown behaviour: Female genital organ, unspecified"
829,D40X,Neoplasm of uncertain or unknown behaviour of male genital organs
830,D400,Neoplasm of uncertain or unknown behaviour: Prostate
831,D401,Neoplasm of uncertain or unknown behaviour: Testis
832,D407,Neoplasm of uncertain or unknown behaviour: Other male genital organs
833,D409,"Neoplasm of uncertain or unknown behaviour: Male genital organ, unspecified"
834,D41X,Neoplasm of uncertain or unknown behaviour of urinary organs
835,D410,Neoplasm of uncertain or unknown behaviour: Kidney
836,D411,Neoplasm of uncertain or unknown behaviour: Renal pelvis
837,D412,Neoplasm of uncertain or unknown behaviour: Ureter
838,D413,Neoplasm of uncertain or unknown behaviour: Urethra
839,D414,Neoplasm of uncertain or unknown behaviour: Bladder
840,D417,Neoplasm of uncertain or unknown behaviour: Other urinary organs
841,D419,"Neoplasm of uncertain or unknown behaviour: Urinary organ, unspecified"
842,D42X,Neoplasm of uncertain or unknown behaviour of meninges
843,D420,Neoplasm of uncertain or unknown behaviour: Cerebral meninges
844,D421,Neoplasm of uncertain or unknown behaviour: Spinal meninges
845,D429,"Neoplasm of uncertain or unknown behaviour: Meninges, unspecified"
846,D43X,Neoplasm of uncertain or unknown behaviour of brain and central nervous system
847,D430,"Neoplasm of uncertain or unknown behaviour: Brain, supratentorial"
848,D431,"Neoplasm of uncertain or unknown behaviour: Brain, infratentorial"
849,D432,"Neoplasm of uncertain or unknown behaviour: Brain, unspecified"
850,D433,Neoplasm of uncertain or unknown behaviour: Cranial nerves
851,D434,Neoplasm of uncertain or unknown behaviour: Spinal cord
852,D437,Neoplasm of uncertain or unknown behaviour: Other parts of central nervous system
853,D439,"Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified"
854,D44X,Neoplasm of uncertain or unknown behaviour of endocrine glands
855,D440,Neoplasm of uncertain or unknown behaviour: Thyroid gland
856,D441,Neoplasm of uncertain or unknown behaviour: Adrenal gland
857,D442,Neoplasm of uncertain or unknown behaviour: Parathyroid gland
858,D443,Neoplasm of uncertain or unknown behaviour: Pituitary gland
859,D444,Neoplasm of uncertain or unknown behaviour: Craniopharyngeal duct
860,D445,Neoplasm of uncertain or unknown behaviour: Pineal gland
861,D446,Neoplasm of uncertain or unknown behaviour: Carotid body
862,D447,Neoplasm of uncertain or unknown behaviour: Aortic body and other paraganglia
863,D448,Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement
864,D449,"Neoplasm of uncertain or unknown behaviour: Endocrine gland, unspecified"
865,D45X,Polycythaemia vera
866,D46X,Myelodysplastic syndromes
867,D460,"Refractory anaemia without ring sideroblasts, so stated"
868,D461,Refractory anaemia with ring sideroblasts
869,D462,Refractory anaemia with excess of blasts [RAEB]
870,D464,"Refractory anaemia, unspecified"
871,D465,Refractory anaemia with multi-lineage dysplasia
872,D466,Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality
873,D467,Other myelodysplastic syndromes
874,D469,"Myelodysplastic syndrome, unspecified"
875,D47X,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
876,D470,Histiocytic and mast cell tumours of uncertain and unknown behaviour
877,D471,Chronic myeloproliferative disease
878,D472,Monoclonal gammopathy of undetermined significance (MGUS)
879,D473,Essential (haemorrhagic) thrombocythaemia
880,D474,Osteomyelofibrosis
881,D475,Chronic eosinophilic leukaemia [hypereosinophilic syndrome]
882,D477,"Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
883,D479,"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified"
884,D48X,Neoplasm of uncertain or unknown behaviour of other and unspecified sites
885,D480,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage
886,D481,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue
887,D482,Neoplasm of uncertain or unknown behaviour: Peripheral nerves and autonomic nervous system
888,D483,Neoplasm of uncertain or unknown behaviour: Retroperitoneum
889,D484,Neoplasm of uncertain or unknown behaviour: Peritoneum
890,D485,Neoplasm of uncertain or unknown behaviour: Skin
891,D486,Neoplasm of uncertain or unknown behaviour: Breast
892,D487,Neoplasm of uncertain or unknown behaviour: Other specified sites
893,D489,"Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour, unspecified"
894,II,Neoplasms
