,date,sex,population,disease,"European Standard population rate per 100,000"
176,2019-11-04,F,11958779.0,10870.0,92.03175556783681
178,2019-11-04,M,11952835.0,10847.0,97.99319696289984
180,2019-11-11,F,11963496.0,10659.0,90.10425888240802
182,2019-11-11,M,11957140.0,10489.0,94.86929270025377
184,2019-11-18,F,11967283.0,10840.0,91.65731186963853
186,2019-11-18,M,11960658.0,10712.0,96.83422477398207
188,2019-11-25,F,11970441.0,10666.0,90.25146570658524
190,2019-11-25,M,11962911.0,10571.0,95.54986356791409
192,2019-12-02,F,11974360.0,10947.0,92.5487872809931
194,2019-12-02,M,11966548.0,10899.0,98.23968624527654
196,2019-12-09,F,11977086.0,10835.0,91.57749388961533
198,2019-12-09,M,11969222.0,10847.0,97.86083375592028
200,2019-12-16,F,11979444.0,10583.0,89.51360713319738
202,2019-12-16,M,11971110.0,10833.0,97.66378898388423
204,2019-12-23,F,11980544.0,5686.0,48.25599244734527
206,2019-12-23,M,11972988.0,5399.0,48.588734410587605
208,2019-12-30,F,11981621.0,8580.0,72.63816889468515
210,2019-12-30,M,11973857.0,7896.0,71.23003924004351
212,2020-01-06,F,11982379.0,11336.0,95.61420967696907
214,2020-01-06,M,11975068.0,11348.0,102.18258706135913
216,2020-01-13,F,11985629.0,10549.0,89.0430403705199
218,2020-01-13,M,11977918.0,10880.0,97.91672505152592
220,2020-01-20,F,11988398.0,10733.0,90.73866096662394
222,2020-01-20,M,11981519.0,10572.0,95.11885841338767
224,2020-01-27,F,11992123.0,10732.0,90.68810666173094
226,2020-01-27,M,11985415.0,10761.0,96.89033493023129
228,2020-02-03,F,11995422.0,10634.0,89.52522603303161
230,2020-02-03,M,11989235.0,10843.0,97.35497160285286
232,2020-02-10,F,11997767.0,10652.0,89.8106582910619
234,2020-02-10,M,11992222.0,10742.0,96.67769341706222
236,2020-02-17,F,12000125.0,10183.0,86.01341189436319
238,2020-02-17,M,11995125.0,10325.0,92.74762525029644
240,2020-02-24,F,12002081.0,10500.0,88.44882670016239
242,2020-02-24,M,11997698.0,10682.0,95.99165074499699
244,2020-03-02,F,12004849.0,10766.0,90.5817773231563
246,2020-03-02,M,12001035.0,10894.0,97.58629488764183
248,2020-03-09,F,12008169.0,10645.0,89.66978071751254
250,2020-03-09,M,12005011.0,10609.0,95.40424634531105
252,2020-03-16,F,12009835.0,8736.0,73.64687845026846
254,2020-03-16,M,12006906.0,8827.0,79.47914232258067
256,2020-03-23,F,12011201.0,6652.0,56.308684364952285
258,2020-03-23,M,12008490.0,6116.0,54.97089071143828
260,2020-03-30,F,12011721.0,5791.0,49.07132936693641
262,2020-03-30,M,12009159.0,5003.0,44.91964844125938
264,2020-04-06,F,12012494.0,4772.0,40.45358951918652
266,2020-04-06,M,12009766.0,4150.0,37.13713009585397
268,2020-04-13,F,12010667.0,4770.0,40.42284821731516
270,2020-04-13,M,12007686.0,4131.0,36.93967309891644
272,2020-04-20,F,12008479.0,5341.0,45.28278295845543
274,2020-04-20,M,12004921.0,4559.0,40.84738404090755
276,2020-04-27,F,12006853.0,5240.0,44.40398359958881
278,2020-04-27,M,12003358.0,4686.0,42.004440611206505
280,2020-05-04,F,12005751.0,5046.0,42.778893651441805
282,2020-05-04,M,12002421.0,4507.0,40.30704493703011
284,2020-05-11,F,12005007.0,5958.0,50.30510239390726
286,2020-05-11,M,12001425.0,5291.0,47.46130822627279
288,2020-05-18,F,12005167.0,5847.0,49.47316817111157
290,2020-05-18,M,12001612.0,5532.0,49.62051652150936
292,2020-05-25,F,12004715.0,5512.0,46.66118791215584
294,2020-05-25,M,12001047.0,4919.0,44.14520378893421
296,2020-06-01,F,12005415.0,6550.0,55.22058056438934
298,2020-06-01,M,12001718.0,5925.0,53.11289917539107
300,2020-06-08,F,12005691.0,6465.0,54.52696060043063
302,2020-06-08,M,12002090.0,6250.0,55.94292026043103
304,2020-06-15,F,12006111.0,6661.0,56.11701177913646
306,2020-06-15,M,12002835.0,6288.0,56.40231748371374
308,2020-06-22,F,12006542.0,7252.0,61.206604110180464
310,2020-06-22,M,12003281.0,6615.0,59.455921289061585
312,2020-06-29,F,12006940.0,7164.0,60.48562300539072
314,2020-06-29,M,12003733.0,6951.0,62.37344291683074
316,2020-07-06,F,12008536.0,7092.0,59.66444494535464
318,2020-07-06,M,12005096.0,6914.0,62.113372487110645
320,2020-07-13,F,12009213.0,7608.0,64.07954788976396
322,2020-07-13,M,12005714.0,7139.0,63.945253123719276
324,2020-07-20,F,12010873.0,7458.0,62.72205547048442
326,2020-07-20,M,12007684.0,7213.0,64.83008508003122
328,2020-07-27,F,12011713.0,7376.0,62.04601558610309
330,2020-07-27,M,12009050.0,7274.0,65.28863342875958
332,2020-08-03,F,12011842.0,7737.0,65.03568632154217
334,2020-08-03,M,12010424.0,7247.0,64.92779934742032
336,2020-08-10,F,12013326.0,7654.0,64.27809886817737
338,2020-08-10,M,12011752.0,7417.0,66.33160253893821
340,2020-08-17,F,12013855.0,7944.0,66.69726387933949
342,2020-08-17,M,12012634.0,7606.0,68.1889991962956
344,2020-08-24,F,12013645.0,7988.0,67.08061307249699
346,2020-08-24,M,12012674.0,7669.0,68.81842512451139
348,2020-08-31,F,12013693.0,7171.0,60.275537142663175
350,2020-08-31,M,12012821.0,6976.0,62.51852861074554
352,2020-09-07,F,12016690.0,8238.0,69.08960788450318
354,2020-09-07,M,12015665.0,8101.0,72.30892321961765
356,2020-09-14,F,12016556.0,8405.0,70.4826588814219
358,2020-09-14,M,12016035.0,8030.0,71.62323011568662
360,2020-09-21,F,12018822.0,8357.0,70.13979089241748
362,2020-09-21,M,12018738.0,8300.0,74.29507545589001
364,2020-09-28,F,12019639.0,8527.0,71.53781298701125
366,2020-09-28,M,12020347.0,8510.0,76.18618756802384
368,2020-10-05,F,12023727.0,8746.0,73.13125155047122
370,2020-10-05,M,12024946.0,8601.0,76.76278926487241
372,2020-10-12,F,12026312.0,8814.0,73.8568860837462
374,2020-10-12,M,12027132.0,8736.0,78.06716239897334
376,2020-10-19,F,12029336.0,8681.0,72.60517984315928
378,2020-10-19,M,12030246.0,8690.0,77.5998886802049
380,2020-10-26,F,12032171.0,8547.0,71.66378865442442
382,2020-10-26,M,12032635.0,8224.0,73.57144141925143
384,2020-11-02,F,12034067.0,8825.0,73.77702673344731
386,2020-11-02,M,12035203.0,8637.0,76.88626537048744
388,2020-11-09,F,12036541.0,8690.0,72.69414217661844
390,2020-11-09,M,12037192.0,8606.0,76.75380297030824
392,2020-11-16,F,12038654.0,8750.0,73.1413228753575
394,2020-11-16,M,12039265.0,8419.0,75.10668017601856
396,2020-11-23,F,12040034.0,8915.0,74.63425672632661
398,2020-11-23,M,12041253.0,8386.0,74.8542770125368
400,2020-11-30,F,12041051.0,8938.0,74.7308402666027
402,2020-11-30,M,12043025.0,8711.0,77.94608505104519
404,2020-12-07,F,12042554.0,9087.0,75.91208146451821
406,2020-12-07,M,12045225.0,8754.0,77.95016972249212
408,2020-12-14,F,12044135.0,9070.0,75.82144064635375
410,2020-12-14,M,12047118.0,8793.0,78.30586724889694
412,2020-12-21,F,12046006.0,6303.0,52.813785901140704
414,2020-12-21,M,12049165.0,6010.0,53.58120778149338
416,2020-12-28,F,12046405.0,5644.0,47.35337646398474
418,2020-12-28,M,12049968.0,4803.0,42.74541321780351
