,date,sex,population,disease,"European Standard population rate per 100,000"
102,2019-06-24,M,11880932.0,6091.0,56.59505800813681
104,2019-07-01,F,11889068.0,5331.0,43.03400249724171
106,2019-07-01,M,11881712.0,5818.0,53.97351452532514
108,2019-07-08,F,11895881.0,5349.0,43.1723995190832
110,2019-07-08,M,11888771.0,5864.0,54.410906860345406
112,2019-07-15,F,11897910.0,5326.0,42.9505081267875
114,2019-07-15,M,11891314.0,5846.0,54.287629936196254
116,2019-07-22,F,11901465.0,5385.0,43.42288863331511
118,2019-07-22,M,11894511.0,5944.0,55.37336775895411
120,2019-07-29,F,11904562.0,5313.0,42.82603484269361
122,2019-07-29,M,11897394.0,5697.0,52.936550695727554
124,2019-08-05,F,11907174.0,5138.0,41.46892360730584
126,2019-08-05,M,11900131.0,5563.0,51.67751912587528
128,2019-08-12,F,11910037.0,5155.0,41.55608142150898
130,2019-08-12,M,11903644.0,5486.0,51.061594942882294
132,2019-08-19,F,11913515.0,5146.0,41.425959871185995
134,2019-08-19,M,11907125.0,5671.0,52.68318232991035
136,2019-08-26,F,11915306.0,4978.0,40.22372184934863
138,2019-08-26,M,11909002.0,5617.0,52.15863014462186
140,2019-09-02,F,11919431.0,4981.0,40.08583508387337
142,2019-09-02,M,11912999.0,5439.0,50.469102033891346
144,2019-09-09,F,11924016.0,5395.0,43.55019650811513
146,2019-09-09,M,11916696.0,6184.0,56.89530926605837
148,2019-09-16,F,11928831.0,5875.0,47.294765840228436
150,2019-09-16,M,11921147.0,6485.0,59.63688732818243
152,2019-09-23,F,11934054.0,6308.0,50.80086122451796
154,2019-09-23,M,11925984.0,6664.0,61.149297369342115
156,2019-09-30,F,11934141.0,6397.0,51.66047883459342
158,2019-09-30,M,11929515.0,6615.0,60.93318649549573
160,2019-10-07,F,11940023.0,6335.0,50.85552350659601
162,2019-10-07,M,11935185.0,6926.0,63.60314865766103
164,2019-10-14,F,11944506.0,6813.0,54.57837552808296
166,2019-10-14,M,11939571.0,6997.0,64.37193417674993
168,2019-10-21,F,11949195.0,6364.0,51.06022259867776
170,2019-10-21,M,11944011.0,6817.0,62.52450079139305
172,2019-10-28,F,11954453.0,6717.0,53.97674275613089
174,2019-10-28,M,11948463.0,7074.0,64.95544408953171
176,2019-11-04,F,11958779.0,6971.0,55.91067000917523
178,2019-11-04,M,11952835.0,7146.0,65.4277872379364
180,2019-11-11,F,11963496.0,7066.0,56.678682900103716
182,2019-11-11,M,11957140.0,7355.0,66.97490477442227
184,2019-11-18,F,11967283.0,7408.0,59.41749963414085
186,2019-11-18,M,11960658.0,7659.0,69.46321720348969
188,2019-11-25,F,11970441.0,7675.0,61.69859405403654
190,2019-11-25,M,11962911.0,8012.0,72.40840694823348
192,2019-12-02,F,11974360.0,7850.0,63.066972800996204
194,2019-12-02,M,11966548.0,8096.0,73.22032043412743
196,2019-12-09,F,11977086.0,8209.0,65.92243490961843
198,2019-12-09,M,11969222.0,8506.0,76.7082136420471
200,2019-12-16,F,11979444.0,8809.0,70.40407531119305
202,2019-12-16,M,11971110.0,8523.0,77.5933850463582
204,2019-12-23,F,11980544.0,8165.0,65.23310855743101
206,2019-12-23,M,11972988.0,8073.0,73.91546502002939
208,2019-12-30,F,11981621.0,8365.0,66.80082612285395
210,2019-12-30,M,11973857.0,8350.0,76.93148094492717
212,2020-01-06,F,11982379.0,7744.0,61.94804198895539
214,2020-01-06,M,11975068.0,7755.0,71.26294765156504
216,2020-01-13,F,11985629.0,7000.0,55.97586189708535
218,2020-01-13,M,11977918.0,7009.0,64.51784721245401
220,2020-01-20,F,11988398.0,6704.0,53.60042791654977
222,2020-01-20,M,11981519.0,7020.0,64.47139082164732
224,2020-01-27,F,11992123.0,7078.0,56.70182328740934
226,2020-01-27,M,11985415.0,7350.0,67.60780625220092
228,2020-02-03,F,11995422.0,6706.0,53.78984954441171
230,2020-02-03,M,11989235.0,7069.0,64.6726503351241
232,2020-02-10,F,11997767.0,6809.0,54.518743816962214
234,2020-02-10,M,11992222.0,7117.0,65.44160764783
236,2020-02-17,F,12000125.0,6263.0,50.139663147484306
238,2020-02-17,M,11995125.0,6876.0,62.932081294407844
240,2020-02-24,F,12002081.0,6519.0,52.19720846044613
242,2020-02-24,M,11997698.0,6964.0,64.16935615124085
244,2020-03-02,F,12004849.0,6359.0,50.73851417030588
246,2020-03-02,M,12001035.0,6699.0,61.22846136824208
248,2020-03-09,F,12008169.0,5736.0,45.961856342234256
250,2020-03-09,M,12005011.0,6064.0,55.378556150356594
252,2020-03-16,F,12009835.0,4383.0,35.18041920893194
254,2020-03-16,M,12006906.0,4810.0,43.84201705553193
256,2020-03-23,F,12011201.0,3167.0,25.42296008396801
258,2020-03-23,M,12008490.0,3576.0,32.79131755903102
260,2020-03-30,F,12011721.0,2955.0,23.757937404058055
262,2020-03-30,M,12009159.0,3411.0,31.323109602395377
264,2020-04-06,F,12012494.0,2862.0,22.984938878918705
266,2020-04-06,M,12009766.0,3222.0,29.618819781089595
268,2020-04-13,F,12010667.0,2880.0,23.067454766180006
270,2020-04-13,M,12007686.0,3254.0,30.007173682962925
272,2020-04-20,F,12008479.0,3201.0,25.703361073225466
274,2020-04-20,M,12004921.0,3708.0,34.43995458101586
276,2020-04-27,F,12006853.0,3608.0,28.97773417268082
278,2020-04-27,M,12003358.0,4078.0,37.7674218201614
280,2020-05-04,F,12005751.0,3552.0,28.40902377986371
282,2020-05-04,M,12002421.0,4138.0,38.54901605611101
284,2020-05-11,F,12005007.0,3614.0,28.868074900171422
286,2020-05-11,M,12001425.0,4223.0,39.29258560339433
288,2020-05-18,F,12005167.0,3691.0,29.43092489816033
290,2020-05-18,M,12001612.0,4466.0,41.607387819959385
292,2020-05-25,F,12004715.0,3472.0,27.813934598822826
294,2020-05-25,M,12001047.0,4100.0,38.32817518349543
296,2020-06-01,F,12005415.0,3918.0,31.237916160806233
298,2020-06-01,M,12001718.0,4423.0,41.133567697175565
300,2020-06-08,F,12005691.0,3947.0,31.55690282144003
302,2020-06-08,M,12002090.0,4565.0,42.372032910206805
304,2020-06-15,F,12006111.0,4086.0,32.691638379936286
306,2020-06-15,M,12002835.0,4717.0,43.718660804639974
308,2020-06-22,F,12006542.0,4244.0,33.96946003446201
310,2020-06-22,M,12003281.0,4805.0,44.75995029167265
312,2020-06-29,F,12006940.0,4083.0,32.713480924623966
314,2020-06-29,M,12003733.0,4586.0,42.53757129190598
316,2020-07-06,F,12008536.0,3970.0,31.709135211400575
318,2020-07-06,M,12005096.0,4546.0,42.197330163579444
320,2020-07-13,F,12009213.0,4186.0,33.40011049113278
322,2020-07-13,M,12005714.0,4761.0,44.13022241932555
324,2020-07-20,F,12010873.0,4076.0,32.47141764874206
326,2020-07-20,M,12007684.0,4743.0,43.92978305117736
328,2020-07-27,F,12011713.0,4155.0,33.051204760285636
330,2020-07-27,M,12009050.0,4805.0,44.621703625973666
332,2020-08-03,F,12011842.0,4163.0,33.13020423451361
334,2020-08-03,M,12010424.0,4610.0,42.39142572429892
336,2020-08-10,F,12013326.0,4232.0,33.75388556324988
338,2020-08-10,M,12011752.0,4796.0,44.286012159340075
340,2020-08-17,F,12013855.0,4211.0,33.634512359258544
342,2020-08-17,M,12012634.0,4748.0,43.77359842309491
344,2020-08-24,F,12013645.0,4265.0,34.09513940688504
346,2020-08-24,M,12012674.0,4841.0,44.584231865522376
348,2020-08-31,F,12013693.0,4200.0,33.48770965968107
350,2020-08-31,M,12012821.0,4996.0,46.16194644905335
352,2020-09-07,F,12016690.0,4596.0,36.70306178226688
354,2020-09-07,M,12015665.0,5311.0,48.39584411778541
356,2020-09-14,F,12016556.0,4649.0,37.21358230163353
358,2020-09-14,M,12016035.0,5473.0,49.68758535390353
360,2020-09-21,F,12018822.0,4759.0,37.9788132938685
362,2020-09-21,M,12018738.0,5209.0,47.65426997173027
364,2020-09-28,F,12019639.0,4725.0,37.59981006152311
366,2020-09-28,M,12020347.0,5242.0,48.15038766715658
368,2020-10-05,F,12023727.0,4534.0,36.06085374065116
370,2020-10-05,M,12024946.0,5244.0,48.04866899611858
372,2020-10-12,F,12026312.0,4404.0,34.97932882118245
374,2020-10-12,M,12027132.0,5030.0,46.08107702518546
376,2020-10-19,F,12029336.0,4492.0,35.72869547620185
378,2020-10-19,M,12030246.0,4931.0,45.24958797953927
380,2020-10-26,F,12032171.0,4165.0,33.17841264818194
382,2020-10-26,M,12032635.0,4534.0,41.49271114432143
384,2020-11-02,F,12034067.0,3946.0,31.335059040934176
386,2020-11-02,M,12035203.0,4519.0,41.41425654152125
388,2020-11-09,F,12036541.0,4142.0,32.857975317288826
390,2020-11-09,M,12037192.0,4605.0,42.01973400542453
392,2020-11-16,F,12038654.0,4007.0,31.941328821682816
394,2020-11-16,M,12039265.0,4589.0,41.8891311448909
396,2020-11-23,F,12040034.0,4024.0,32.01083157512342
398,2020-11-23,M,12041253.0,4569.0,41.91539108067853
400,2020-11-30,F,12041051.0,4264.0,33.852872421094844
402,2020-11-30,M,12043025.0,4856.0,44.531767411799144
404,2020-12-07,F,12042554.0,4265.0,33.73224215574747
406,2020-12-07,M,12045225.0,4881.0,44.734408434928
408,2020-12-14,F,12044135.0,4030.0,31.993074748144377
410,2020-12-14,M,12047118.0,4518.0,41.46431976319096
412,2020-12-21,F,12046006.0,3476.0,27.584881248693364
414,2020-12-21,M,12049165.0,4114.0,37.91031913684207
416,2020-12-28,F,12046405.0,3651.0,29.001689343635924
418,2020-12-28,M,12049968.0,4124.0,37.92170242333708
