,date,region,population,disease,"European Standard population rate per 100,000"
172,2019-05-13,East Midlands,4137732.0,5956.0,148.30131593160706
173,2019-05-13,London,1630029.0,1531.0,139.6178442781221
174,2019-05-13,North East,1093555.0,1662.0,158.78164588653317
175,2019-05-13,North West,2053847.0,3226.0,154.639807771829
176,2019-05-13,South East,1570646.0,2018.0,124.47334694904377
177,2019-05-13,South West,3255966.0,5165.0,145.97319070901474
178,2019-05-13,West Midlands,987619.0,1302.0,150.29613148601297
179,2019-05-13,Yorkshire and The Humber,3391798.0,4752.0,148.62629529527797
180,2019-05-20,East,5540840.0,7842.0,146.34376693336364
181,2019-05-20,East Midlands,4138750.0,6121.0,152.58885553539187
182,2019-05-20,London,1631418.0,1631.0,149.22114094865395
183,2019-05-20,North East,1093660.0,1565.0,149.34487775427684
184,2019-05-20,North West,2054043.0,3123.0,149.19931565327076
185,2019-05-20,South East,1570882.0,2035.0,125.7523747951108
186,2019-05-20,South West,3257558.0,5092.0,143.6507091095149
187,2019-05-20,West Midlands,987710.0,1306.0,151.46222887963506
188,2019-05-20,Yorkshire and The Humber,3392283.0,4684.0,146.4535949736422
189,2019-05-27,East,5541849.0,6749.0,126.10967816333687
190,2019-05-27,East Midlands,4139350.0,5212.0,130.1982409852361
191,2019-05-27,London,1632632.0,1323.0,121.82427372217776
192,2019-05-27,North East,1093649.0,1441.0,137.5269959572379
193,2019-05-27,North West,2054187.0,2846.0,136.25931467019404
194,2019-05-27,South East,1570995.0,1680.0,103.44816449621996
195,2019-05-27,South West,3258551.0,4414.0,124.11470935595266
196,2019-05-27,West Midlands,987711.0,1079.0,125.11099442071195
197,2019-05-27,Yorkshire and The Humber,3392632.0,4098.0,129.04505768034133
198,2019-06-03,East,5543220.0,7733.0,144.29554769720394
199,2019-06-03,East Midlands,4139831.0,5839.0,144.8221608356144
200,2019-06-03,London,1634127.0,1553.0,140.68982041771048
201,2019-06-03,North East,1093789.0,1590.0,150.82605293582796
202,2019-06-03,North West,2054251.0,3128.0,149.42560780900183
203,2019-06-03,South East,1571304.0,1984.0,121.97776504818736
204,2019-06-03,South West,3260449.0,5065.0,142.15673563117625
205,2019-06-03,West Midlands,987788.0,1251.0,145.2915593744184
206,2019-06-03,Yorkshire and The Humber,3393095.0,4675.0,146.4223815963986
207,2019-06-10,East,5544920.0,7850.0,146.0527608108955
208,2019-06-10,East Midlands,4141048.0,5910.0,146.94920733345205
209,2019-06-10,London,1635493.0,1549.0,139.54747130172925
210,2019-06-10,North East,1093886.0,1549.0,148.15055523663602
211,2019-06-10,North West,2054699.0,3110.0,148.71242695462607
212,2019-06-10,South East,1571735.0,1942.0,119.35078276452963
213,2019-06-10,South West,3262215.0,5008.0,140.71052832639054
214,2019-06-10,West Midlands,987840.0,1215.0,141.14546289383784
