,date,ethnicity,respiratory_disease,population,"European Standard population rate per 100,000"
199,30/09/2019,5,182,428620,70.145
200,07/10/2019,1,17069,14142208,119.15
201,07/10/2019,2,218,295849,99.39
202,07/10/2019,3,1089,1410907,113.82
203,07/10/2019,4,320,478777,86.525
204,07/10/2019,5,224,431348,87.37
205,14/10/2019,1,17558,14154514,122.445
206,14/10/2019,2,228,296532,107.935
207,14/10/2019,3,1124,1413544,120.825
208,14/10/2019,4,338,479766,91.74
209,14/10/2019,5,220,432977,89.27
210,21/10/2019,1,16872,14166498,117.52
211,21/10/2019,2,215,297124,109.02
212,21/10/2019,3,1032,1416007,109.465
213,21/10/2019,4,307,480786,86.665
214,21/10/2019,5,187,434515,71.06
215,28/10/2019,1,17116,14178536,119.3
216,28/10/2019,2,211,297664,106.12
217,28/10/2019,3,1106,1418338,115.49
218,28/10/2019,4,381,481765,113.455
219,28/10/2019,5,220,435865,83.75
220,04/11/2019,1,17842,14189914,124.325
221,04/11/2019,2,226,298200,119.83
222,04/11/2019,3,1105,1420789,113.46
223,04/11/2019,4,332,482724,91.975
224,04/11/2019,5,205,437300,74.4
225,11/11/2019,1,17944,14201657,125.73
226,11/11/2019,2,215,298805,109.77
227,11/11/2019,3,1082,1423169,111.21
228,11/11/2019,4,379,483698,105.3
229,11/11/2019,5,211,438749,74.55
230,18/11/2019,1,18183,14212484,127.545
231,18/11/2019,2,234,299422,106.22
232,18/11/2019,3,1201,1425267,120.22
233,18/11/2019,4,342,484650,96.48
234,18/11/2019,5,232,440067,91.595
235,25/11/2019,1,18526,14223159,130.41
236,25/11/2019,2,248,299878,111.345
237,25/11/2019,3,1208,1427356,128.065
238,25/11/2019,4,350,485503,98.38
239,25/11/2019,5,211,441217,77.435
240,02/12/2019,1,18381,14233992,129.71
241,02/12/2019,2,241,300335,99.235
242,02/12/2019,3,1207,1429466,127.775
243,02/12/2019,4,375,486268,111.27
244,02/12/2019,5,245,442267,93.97
245,09/12/2019,1,19146,14244038,134.64
246,09/12/2019,2,262,300791,134.495
247,09/12/2019,3,1226,1431401,121.865
248,09/12/2019,4,381,486964,112.21
249,09/12/2019,5,238,443197,80.57
250,16/12/2019,1,19060,14253013,133.065
251,16/12/2019,2,244,301238,111.4
252,16/12/2019,3,1382,1433255,141.275
253,16/12/2019,4,426,487668,125.025
254,16/12/2019,5,237,444130,94.365
255,23/12/2019,1,13827,14261397,97.33
256,23/12/2019,2,172,301648,80.94
257,23/12/2019,3,967,1435045,98.845
258,23/12/2019,4,286,488377,77.92
259,23/12/2019,5,168,444891,67.72
260,30/12/2019,1,16822,14265688,117.075
261,30/12/2019,2,213,301851,104.885
262,30/12/2019,3,1027,1436233,109.465
263,30/12/2019,4,324,488789,90.84
264,30/12/2019,5,173,445305,66.365
265,06/01/2020,1,18945,14273369,129.74
266,06/01/2020,2,196,302202,97.415
267,06/01/2020,3,1132,1437658,118.18
268,06/01/2020,4,354,489457,99.42
269,06/01/2020,5,206,445922,81.59
270,13/01/2020,1,18078,14285130,123.455
271,13/01/2020,2,199,302765,102.5
272,13/01/2020,3,1049,1439780,110.665
273,13/01/2020,4,323,490393,88.71
274,13/01/2020,5,195,446860,75.145
275,20/01/2020,1,18244,14296622,124.955
276,20/01/2020,2,222,303341,107.165
277,20/01/2020,3,1108,1441961,115.555
278,20/01/2020,4,344,491351,97.295
279,20/01/2020,5,196,447956,67.155
280,27/01/2020,1,18603,14308359,127.86
281,27/01/2020,2,235,303924,123.915
282,27/01/2020,3,1194,1444037,116.7
283,27/01/2020,4,363,492230,105.5
284,27/01/2020,5,231,449040,90.855
285,03/02/2020,1,18283,14319055,125.295
286,03/02/2020,2,220,304419,106.13
287,03/02/2020,3,1213,1446499,118.83
288,03/02/2020,4,374,493231,106.165
289,03/02/2020,5,241,450227,84.9
290,10/02/2020,1,18292,14329500,125.05
291,10/02/2020,2,230,304918,108.575
292,10/02/2020,3,1086,1448784,107.685
293,10/02/2020,4,357,494132,99.3
294,10/02/2020,5,226,451151,84.91
295,17/02/2020,1,17571,14339336,119.995
296,17/02/2020,2,220,305374,111.67
297,17/02/2020,3,1059,1451184,105.62
298,17/02/2020,4,339,495015,91.88
299,17/02/2020,5,225,452181,87.67
300,24/02/2020,1,18332,14349015,124.85
301,24/02/2020,2,230,305823,115.26
302,24/02/2020,3,1121,1453284,109.13
303,24/02/2020,4,331,495879,93.38
304,24/02/2020,5,203,453117,73.56
305,02/03/2020,1,18334,14358682,124.64
306,02/03/2020,2,245,306278,136.615
307,02/03/2020,3,1169,1455237,114.115
308,02/03/2020,4,323,496641,95.97
309,02/03/2020,5,202,454031,82.74
310,09/03/2020,1,17241,14368931,117.48
311,09/03/2020,2,227,306747,106.09
312,09/03/2020,3,980,1457443,93.005
313,09/03/2020,4,336,497433,98.72
314,09/03/2020,5,199,454914,70.295
315,16/03/2020,1,12407,14378079,84.535
316,16/03/2020,2,159,307152,69.345
317,16/03/2020,3,728,1459383,70.445
318,16/03/2020,4,243,498101,69.235
319,16/03/2020,5,145,455678,49.595
320,23/03/2020,1,8603,14386040,58.26
321,23/03/2020,2,126,307491,62.91
322,23/03/2020,3,592,1460763,58.315
323,23/03/2020,4,239,498589,62.76
324,23/03/2020,5,132,456213,45.565
325,30/03/2020,1,8453,14392278,56.775
326,30/03/2020,2,107,307711,65.84
327,30/03/2020,3,666,1461812,63.66
328,30/03/2020,4,276,498883,76.765
329,30/03/2020,5,163,456616,59.56
330,06/04/2020,1,7746,14397009,51.74
331,06/04/2020,2,112,307918,61.86
332,06/04/2020,3,596,1462521,55.68
333,06/04/2020,4,227,499375,65.95
334,06/04/2020,5,143,456908,53.845
335,13/04/2020,1,7591,14400150,50.695
336,13/04/2020,2,86,308072,45.765
337,13/04/2020,3,482,1463157,43.61
338,13/04/2020,4,206,499575,53.8
339,13/04/2020,5,93,457085,30.01
340,20/04/2020,1,8535,14404231,57.05
341,20/04/2020,2,83,308204,43.285
342,20/04/2020,3,498,1463696,46.425
343,20/04/2020,4,189,499752,51.395
344,20/04/2020,5,97,457338,39.42
345,27/04/2020,1,9330,14408738,62.235
346,27/04/2020,2,102,308367,51.15
347,27/04/2020,3,475,1464260,46.81
348,27/04/2020,4,191,500005,48.915
349,27/04/2020,5,90,457616,35.415
350,04/05/2020,1,9113,14413327,60.435
351,04/05/2020,2,97,308577,46.165
352,04/05/2020,3,435,1464840,39.825
353,04/05/2020,4,142,500258,36.62
354,04/05/2020,5,96,457891,37.7
355,11/05/2020,1,9735,14417205,65.01
356,11/05/2020,2,113,308772,59.57
357,11/05/2020,3,470,1465373,47.355
358,11/05/2020,4,175,500509,47.69
359,11/05/2020,5,99,458125,36.895
360,18/05/2020,1,10265,14422077,67.935
361,18/05/2020,2,116,309016,58.825
362,18/05/2020,3,508,1466023,51.96
363,18/05/2020,4,186,500805,49.89
364,18/05/2020,5,87,458423,30.475
365,25/05/2020,1,9722,14425812,64.56
366,25/05/2020,2,85,309188,45.93
367,25/05/2020,3,491,1466565,49.665
368,25/05/2020,4,180,501033,48.465
369,25/05/2020,5,99,458643,37.34
370,01/06/2020,1,10824,14431280,71.39
371,01/06/2020,2,117,309409,58.405
372,01/06/2020,3,573,1467287,58.655
373,01/06/2020,4,194,501378,53.395
374,01/06/2020,5,128,458954,52.65
375,08/06/2020,1,11044,14436924,72.695
376,08/06/2020,2,142,309696,68.29
377,08/06/2020,3,556,1468087,55.005
378,08/06/2020,4,205,501701,57.745
379,08/06/2020,5,115,459277,48.385
380,15/06/2020,1,11503,14442959,75.975
381,15/06/2020,2,126,309946,62.86
382,15/06/2020,3,656,1468903,64.25
383,15/06/2020,4,231,502065,58.785
384,15/06/2020,5,138,459611,52.715
385,22/06/2020,1,12386,14449266,82.05
386,22/06/2020,2,136,310216,72.515
387,22/06/2020,3,629,1469636,62.615
388,22/06/2020,4,239,502448,66.03
389,22/06/2020,5,138,460031,55.165
390,29/06/2020,1,12556,14455480,82.975
391,29/06/2020,2,142,310480,73.38
392,29/06/2020,3,637,1470436,63.31
393,29/06/2020,4,245,502807,62.815
394,29/06/2020,5,125,460426,52.005
395,06/07/2020,1,12739,14462605,83.715
396,06/07/2020,2,125,310784,55.575
397,06/07/2020,3,653,1471375,63.99
398,06/07/2020,4,231,503253,65.425
399,06/07/2020,5,124,460890,45.37
400,13/07/2020,1,12995,14470116,85.455
401,13/07/2020,2,158,311103,78.825
402,13/07/2020,3,642,1472490,63.495
403,13/07/2020,4,227,503680,62.695
404,13/07/2020,5,125,461356,47.925
405,20/07/2020,1,13223,14478170,86.81
406,20/07/2020,2,157,311456,86.13
407,20/07/2020,3,682,1473525,67.14
408,20/07/2020,4,246,504145,67.68
409,20/07/2020,5,159,461843,59.98
410,27/07/2020,1,13395,14486161,88.03
411,27/07/2020,2,156,311797,70
412,27/07/2020,3,690,1474603,71.345
413,27/07/2020,4,232,504647,63.365
414,27/07/2020,5,144,462413,48.085
415,03/08/2020,1,13489,14494184,88.605
416,03/08/2020,2,154,312113,82.43
417,03/08/2020,3,745,1475672,73.8
418,03/08/2020,4,269,505128,73.48
419,03/08/2020,5,136,462925,48.47
420,10/08/2020,1,14166,14502793,92.69
421,10/08/2020,2,143,312506,73.38
422,10/08/2020,3,738,1476722,72.985
423,10/08/2020,4,263,505707,71.67
424,10/08/2020,5,134,463525,53.805
425,17/08/2020,1,14226,14511030,93.345
426,17/08/2020,2,157,312872,79.33
427,17/08/2020,3,735,1477977,74.975
428,17/08/2020,4,263,506256,67.765
429,17/08/2020,5,162,464129,60.895
430,24/08/2020,1,14335,14520007,93.885
431,24/08/2020,2,176,313291,92.935
432,24/08/2020,3,748,1479249,76.36
433,24/08/2020,4,279,506884,76.21
434,24/08/2020,5,145,464692,50.43
435,31/08/2020,1,13579,14527303,89.225
436,31/08/2020,2,158,313631,86.24
437,31/08/2020,3,754,1480280,73.31
438,31/08/2020,4,265,507348,69.23
439,31/08/2020,5,141,465259,53.515
440,07/09/2020,1,15153,14538306,99.545
441,07/09/2020,2,190,314158,94.05
442,07/09/2020,3,898,1481751,87.4
443,07/09/2020,4,307,508005,83.1
444,07/09/2020,5,167,466052,60.03
445,14/09/2020,1,15612,14550288,102.955
446,14/09/2020,2,197,314727,95.835
447,14/09/2020,3,958,1483476,91.715
448,14/09/2020,4,352,508772,93.29
449,14/09/2020,5,166,467011,57.325
450,21/09/2020,1,15911,14562939,104.25
451,21/09/2020,2,171,315311,87.4
452,21/09/2020,3,894,1485484,84.13
453,21/09/2020,4,285,509580,79.945
454,21/09/2020,5,172,468173,56.265
455,28/09/2020,1,16283,14576255,106.03
456,28/09/2020,2,180,315994,86.68
457,28/09/2020,3,958,1487555,93.69
458,28/09/2020,4,271,510449,68.735
459,28/09/2020,5,185,469480,68.145
460,05/10/2020,1,16074,14589799,104.45
461,05/10/2020,2,191,316655,105.92
462,05/10/2020,3,894,1489745,89
463,05/10/2020,4,308,511356,87.5
464,05/10/2020,5,164,470871,68.195
465,12/10/2020,1,16361,14602704,106.165
466,12/10/2020,2,165,317283,79.58
467,12/10/2020,3,925,1491865,88.745
468,12/10/2020,4,298,512242,79.525
469,12/10/2020,5,202,472162,77.255
470,19/10/2020,1,16421,14615353,106.56
471,19/10/2020,2,169,317941,84.865
472,19/10/2020,3,907,1494127,87.925
473,19/10/2020,4,309,513122,80.48
474,19/10/2020,5,195,473594,71.84
475,26/10/2020,1,15715,14627320,101.575
476,26/10/2020,2,210,318605,112.48
477,26/10/2020,3,943,1496251,92.405
478,26/10/2020,4,323,514058,87.04
479,26/10/2020,5,194,474992,73.225
480,02/11/2020,1,15628,14638636,101.05
481,02/11/2020,2,195,319189,95.67
482,02/11/2020,3,885,1498305,87.315
483,02/11/2020,4,282,514957,74.575
484,02/11/2020,5,203,476208,70.835
485,09/11/2020,1,16137,14649949,104
486,09/11/2020,2,173,319746,73.44
487,09/11/2020,3,1004,1500627,96.72
488,09/11/2020,4,292,515945,80.38
489,09/11/2020,5,211,477350,79.995
490,16/11/2020,1,15502,14661631,99.94
491,16/11/2020,2,193,320372,94.135
492,16/11/2020,3,970,1502841,95.315
493,16/11/2020,4,270,516878,67.755
494,16/11/2020,5,203,478576,72.295
495,23/11/2020,1,15316,14672927,98.74
496,23/11/2020,2,182,320943,85.84
497,23/11/2020,3,911,1505076,90.085
498,23/11/2020,4,307,517762,80.955
499,23/11/2020,5,198,479648,72.115
500,30/11/2020,1,14745,14683905,94.895
501,30/11/2020,2,168,321491,82.41
502,30/11/2020,3,967,1507231,94.055
503,30/11/2020,4,302,518644,85.405
504,30/11/2020,5,183,480681,70.3
505,07/12/2020,1,14691,14694580,94.39
506,07/12/2020,2,183,321988,99.16
507,07/12/2020,3,878,1509414,84.635
508,07/12/2020,4,283,519561,72.66
509,07/12/2020,5,197,481632,71.76
510,14/12/2020,1,13355,14705495,85.76
511,14/12/2020,2,172,322494,78.575
512,14/12/2020,3,867,1511587,84.38
513,14/12/2020,4,286,520432,80.295
514,14/12/2020,5,203,482643,74.355
515,21/12/2020,1,9263,14716284,59.38
516,21/12/2020,2,129,322968,63.37
517,21/12/2020,3,606,1513908,54.135
518,21/12/2020,4,183,521222,47.48
519,21/12/2020,5,131,483618,44.635
520,28/12/2020,1,4552,14722879,29.27
521,28/12/2020,2,51,323282,21.725
522,28/12/2020,3,237,1515512,20.03
523,28/12/2020,4,97,521819,24.915
524,28/12/2020,5,54,484324,17.625
