,date,sex,population,disease,"European Standard population rate per 100,000"
348,2020-08-31,F,12013693.0,11371.0,93.76324680234424
350,2020-08-31,M,12012821.0,11972.0,108.6804750597989
352,2020-09-07,F,12016690.0,12834.0,105.79266966677005
354,2020-09-07,M,12015665.0,13412.0,120.70476733740307
356,2020-09-14,F,12016556.0,13054.0,107.69624118305542
358,2020-09-14,M,12016035.0,13503.0,121.31081546959017
360,2020-09-21,F,12018822.0,13116.0,108.11860418628598
362,2020-09-21,M,12018738.0,13509.0,121.94934542762027
364,2020-09-28,F,12019639.0,13252.0,109.13762304853438
366,2020-09-28,M,12020347.0,13752.0,124.33657523518042
368,2020-10-05,F,12023727.0,13280.0,109.19210529112239
370,2020-10-05,M,12024946.0,13845.0,124.811458260991
372,2020-10-12,F,12026312.0,13218.0,108.83621490492867
374,2020-10-12,M,12027132.0,13766.0,124.1482394241588
376,2020-10-19,F,12029336.0,13173.0,108.33387531936111
378,2020-10-19,M,12030246.0,13621.0,122.84947665974416
380,2020-10-26,F,12032171.0,12712.0,104.84220130260636
382,2020-10-26,M,12032635.0,12758.0,115.06415256357286
384,2020-11-02,F,12034067.0,12771.0,105.11208577438148
386,2020-11-02,M,12035203.0,13156.0,118.30052191200866
388,2020-11-09,F,12036541.0,12832.0,105.55211749390726
390,2020-11-09,M,12037192.0,13211.0,118.77353697573277
392,2020-11-16,F,12038654.0,12757.0,105.0826516970403
394,2020-11-16,M,12039265.0,13008.0,116.99581132090945
396,2020-11-23,F,12040034.0,12939.0,106.64508830145004
398,2020-11-23,M,12041253.0,12955.0,116.76966809321533
400,2020-11-30,F,12041051.0,13202.0,108.58371268769754
402,2020-11-30,M,12043025.0,13567.0,122.47785246284435
404,2020-12-07,F,12042554.0,13352.0,109.64432362026568
406,2020-12-07,M,12045225.0,13635.0,122.68457815742012
408,2020-12-14,F,12044135.0,13100.0,107.81451539449812
410,2020-12-14,M,12047118.0,13311.0,119.77018701208792
412,2020-12-21,F,12046006.0,9779.0,80.39866714983408
414,2020-12-21,M,12049165.0,10124.0,91.49152691833547
416,2020-12-28,F,12046405.0,9295.0,76.35506580762065
418,2020-12-28,M,12049968.0,8927.0,80.66711564114058
