,date,region,cancer,population,"European Standard population rate per 100,000"
254,2019-07-15,London,1237.0,1642053.0,112.395
255,2019-07-15,North East,1092.0,1094493.0,103.79500000000002
256,2019-07-15,North West,2186.0,2056207.0,103.88
257,2019-07-15,South East,1499.0,1573514.0,92.42
258,2019-07-15,South West,3910.0,3265914.0,109.78999999999999
259,2019-07-15,West Midlands,803.0,988504.0,94.78
260,2019-07-15,Yorkshire and The Humber,3032.0,3400129.0,95.155
261,2019-07-22,East,5635.0,5562767.0,105.24
262,2019-07-22,East Midlands,4342.0,4146712.0,108.12
263,2019-07-22,London,1180.0,1643608.0,108.14999999999999
264,2019-07-22,North East,1167.0,1094721.0,111.45499999999998
265,2019-07-22,North West,2243.0,2056534.0,106.635
266,2019-07-22,South East,1521.0,1573660.0,93.71499999999999
267,2019-07-22,South West,3830.0,3266621.0,107.40000000000002
268,2019-07-22,West Midlands,796.0,988571.0,93.60000000000001
269,2019-07-22,Yorkshire and The Humber,3028.0,3400709.0,95.33000000000001
270,2019-07-29,East,5799.0,5564489.0,108.5
271,2019-07-29,East Midlands,4264.0,4147542.0,106.15
272,2019-07-29,London,1191.0,1645051.0,108.31000000000002
273,2019-07-29,North East,1170.0,1094921.0,111.73
274,2019-07-29,North West,2216.0,2056702.0,105.28
275,2019-07-29,South East,1486.0,1573821.0,91.605
276,2019-07-29,South West,3882.0,3267316.0,108.555
277,2019-07-29,West Midlands,769.0,988612.0,91.225
278,2019-07-29,Yorkshire and The Humber,3135.0,3401363.0,98.60000000000001
279,2019-08-05,East,5641.0,5566262.0,105.27000000000001
280,2019-08-05,East Midlands,4201.0,4148400.0,104.295
281,2019-08-05,London,1195.0,1646428.0,108.44500000000001
282,2019-08-05,North East,1081.0,1094941.0,102.98
283,2019-08-05,North West,2166.0,2056785.0,102.885
284,2019-08-05,South East,1442.0,1573835.0,88.63000000000002
285,2019-08-05,South West,3923.0,3267856.0,109.90000000000002
286,2019-08-05,West Midlands,753.0,988522.0,88.43
287,2019-08-05,Yorkshire and The Humber,3333.0,3402000.0,104.47
288,2019-08-12,East,5656.0,5567879.0,105.52000000000001
289,2019-08-12,East Midlands,4354.0,4149550.0,108.11
290,2019-08-12,London,1177.0,1647314.0,108.745
291,2019-08-12,North East,1095.0,1094972.0,104.50999999999999
292,2019-08-12,North West,2156.0,2057140.0,102.60999999999999
293,2019-08-12,South East,1439.0,1574093.0,88.55499999999999
294,2019-08-12,South West,3758.0,3268987.0,105.145
295,2019-08-12,West Midlands,826.0,988601.0,97.65500000000002
296,2019-08-12,Yorkshire and The Humber,3236.0,3402765.0,101.5
297,2019-08-19,East,5779.0,5569807.0,107.80999999999999
298,2019-08-19,East Midlands,4293.0,4150600.0,106.65499999999999
299,2019-08-19,London,1205.0,1648779.0,109.80999999999999
300,2019-08-19,North East,1087.0,1095086.0,103.86
301,2019-08-19,North West,2280.0,2057606.0,108.22999999999999
302,2019-08-19,South East,1456.0,1574379.0,89.82
303,2019-08-19,South West,3786.0,3269948.0,105.83000000000001
304,2019-08-19,West Midlands,797.0,988556.0,93.94500000000001
305,2019-08-19,Yorkshire and The Humber,3343.0,3403380.0,104.72000000000001
306,2019-08-26,East,5084.0,5570882.0,94.79999999999998
307,2019-08-26,East Midlands,3811.0,4151341.0,94.60000000000002
308,2019-08-26,London,1051.0,1649813.0,96.175
309,2019-08-26,North East,964.0,1095232.0,92.19000000000001
310,2019-08-26,North West,1928.0,2057686.0,91.49499999999998
311,2019-08-26,South East,1262.0,1574293.0,77.74499999999999
312,2019-08-26,South West,3462.0,3264430.0,96.78500000000001
313,2019-08-26,West Midlands,711.0,988384.0,83.85
314,2019-08-26,Yorkshire and The Humber,3036.0,3403249.0,95.40000000000002
315,2019-09-02,East,5627.0,5572611.0,104.755
316,2019-09-02,East Midlands,4393.0,4152747.0,108.82999999999998
317,2019-09-02,London,1241.0,1651420.0,113.02000000000001
318,2019-09-02,North East,1187.0,1095380.0,112.69500000000002
319,2019-09-02,North West,2145.0,2058054.0,101.98500000000001
320,2019-09-02,South East,1556.0,1574532.0,95.5
321,2019-09-02,South West,3801.0,3265907.0,106.095
322,2019-09-02,West Midlands,800.0,988398.0,94.56
323,2019-09-02,Yorkshire and The Humber,3476.0,3404266.0,108.845
324,2019-09-09,East,5641.0,5574537.0,105.11999999999999
325,2019-09-09,East Midlands,4222.0,4153932.0,104.515
326,2019-09-09,London,1208.0,1653204.0,111.25500000000004
327,2019-09-09,North East,1111.0,1096200.0,105.70000000000002
328,2019-09-09,North West,2268.0,2058413.0,107.335
329,2019-09-09,South East,1484.0,1574503.0,91.285
330,2019-09-09,South West,3712.0,3267129.0,104.06
331,2019-09-09,West Midlands,827.0,988561.0,97.93
332,2019-09-09,Yorkshire and The Humber,3442.0,3405003.0,107.53999999999999
333,2019-09-16,East,5748.0,5575637.0,106.885
334,2019-09-16,East Midlands,4255.0,4155601.0,105.24000000000002
335,2019-09-16,London,1230.0,1654919.0,110.165
336,2019-09-16,North East,1129.0,1096389.0,107.83000000000001
337,2019-09-16,North West,2192.0,2058759.0,104.275
338,2019-09-16,South East,1486.0,1575577.0,91.36500000000001
339,2019-09-16,South West,3808.0,3269032.0,106.40000000000002
340,2019-09-16,West Midlands,838.0,988520.0,98.41
341,2019-09-16,Yorkshire and The Humber,3366.0,3406187.0,105.54
342,2019-09-23,East,5676.0,5575928.0,105.86999999999999
343,2019-09-23,East Midlands,4402.0,4159472.0,109.115
344,2019-09-23,London,1164.0,1656729.0,106.11500000000001
345,2019-09-23,North East,1153.0,1097470.0,109.94500000000001
346,2019-09-23,North West,2203.0,2058970.0,104.595
347,2019-09-23,South East,1467.0,1576633.0,90.17000000000002
348,2019-09-23,South West,3833.0,3269898.0,106.98
349,2019-09-23,West Midlands,796.0,988660.0,94.095
350,2019-09-23,Yorkshire and The Humber,3346.0,3406749.0,104.93500000000002
351,2019-09-30,East,5896.0,5574532.0,109.755
352,2019-09-30,East Midlands,4246.0,4162212.0,105.03999999999999
353,2019-09-30,London,1216.0,1658819.0,109.035
354,2019-09-30,North East,1156.0,1098020.0,109.94999999999999
355,2019-09-30,North West,2287.0,2058326.0,108.52500000000002
356,2019-09-30,South East,1481.0,1577507.0,90.725
357,2019-09-30,South West,3879.0,3269883.0,108.475
358,2019-09-30,West Midlands,805.0,988861.0,95.27
359,2019-09-30,Yorkshire and The Humber,3436.0,3405666.0,107.64500000000001
360,2019-10-07,East,5819.0,5578184.0,108.16
361,2019-10-07,East Midlands,4440.0,4163824.0,109.61500000000002
362,2019-10-07,London,1176.0,1661594.0,105.75999999999999
363,2019-10-07,North East,1070.0,1098119.0,101.535
364,2019-10-07,North West,2240.0,2058674.0,105.89500000000001
365,2019-10-07,South East,1504.0,1578072.0,92.585
366,2019-10-07,South West,3855.0,3271469.0,107.69
367,2019-10-07,West Midlands,798.0,989138.0,93.955
368,2019-10-07,Yorkshire and The Humber,3392.0,3406051.0,106.17999999999998
369,2019-10-14,East,5984.0,5580449.0,111.53
370,2019-10-14,East Midlands,4360.0,4165490.0,107.75
371,2019-10-14,London,1229.0,1664077.0,111.30000000000001
372,2019-10-14,North East,1195.0,1098271.0,113.80000000000001
373,2019-10-14,North West,2264.0,2058874.0,107.02000000000002
374,2019-10-14,South East,1496.0,1578498.0,91.915
375,2019-10-14,South West,3963.0,3272314.0,110.80999999999999
376,2019-10-14,West Midlands,808.0,989485.0,94.83
377,2019-10-14,Yorkshire and The Humber,3418.0,3406399.0,106.94000000000001
378,2019-10-21,East,5909.0,5582921.0,109.945
379,2019-10-21,East Midlands,4246.0,4167255.0,104.99500000000002
380,2019-10-21,London,1122.0,1666576.0,101.81
381,2019-10-21,North East,1170.0,1098453.0,111.305
382,2019-10-21,North West,2205.0,2058901.0,104.525
383,2019-10-21,South East,1465.0,1579056.0,90.02000000000001
384,2019-10-21,South West,3708.0,3279628.0,103.12
385,2019-10-21,West Midlands,820.0,989698.0,96.86
386,2019-10-21,Yorkshire and The Humber,3499.0,3406853.0,109.58000000000001
387,2019-10-28,East,5877.0,5585513.0,109.46499999999999
388,2019-10-28,East Midlands,4259.0,4169275.0,105.30499999999999
389,2019-10-28,London,1224.0,1669206.0,109.82000000000001
390,2019-10-28,North East,1089.0,1098557.0,103.705
391,2019-10-28,North West,2155.0,2059163.0,102.11999999999999
392,2019-10-28,South East,1505.0,1579456.0,92.28000000000002
393,2019-10-28,South West,3709.0,3280592.0,103.66000000000001
394,2019-10-28,West Midlands,712.0,989700.0,84.205
395,2019-10-28,Yorkshire and The Humber,3388.0,3407446.0,106.19
396,2019-11-04,East,5973.0,5587880.0,110.71499999999999
397,2019-11-04,East Midlands,4405.0,4171571.0,108.65500000000002
398,2019-11-04,London,1227.0,1671434.0,111.655
399,2019-11-04,North East,1177.0,1098642.0,111.625
400,2019-11-04,North West,2286.0,2059074.0,108.30000000000001
401,2019-11-04,South East,1560.0,1579657.0,95.6
402,2019-11-04,South West,4067.0,3281492.0,113.39500000000001
403,2019-11-04,West Midlands,845.0,989629.0,99.36500000000001
404,2019-11-04,Yorkshire and The Humber,3550.0,3408145.0,111.095
405,2019-11-11,East,5990.0,5590413.0,111.24
406,2019-11-11,East Midlands,4405.0,4173130.0,108.64999999999999
407,2019-11-11,London,1243.0,1673985.0,111.46499999999999
408,2019-11-11,North East,1098.0,1098708.0,104.39000000000001
409,2019-11-11,North West,2285.0,2059215.0,108.18
410,2019-11-11,South East,1581.0,1580129.0,96.92999999999999
411,2019-11-11,South West,3925.0,3282188.0,109.025
412,2019-11-11,West Midlands,788.0,989989.0,92.82
413,2019-11-11,Yorkshire and The Humber,3384.0,3408693.0,105.795
414,2019-11-18,East,5980.0,5592228.0,111.02499999999999
415,2019-11-18,East Midlands,4446.0,4175116.0,109.695
416,2019-11-18,London,1242.0,1675727.0,111.73500000000001
417,2019-11-18,North East,1143.0,1098820.0,108.71000000000001
418,2019-11-18,North West,2172.0,2059397.0,102.815
419,2019-11-18,South East,1538.0,1580496.0,94.26
420,2019-11-18,South West,4071.0,3282963.0,113.325
421,2019-11-18,West Midlands,791.0,989582.0,93.50500000000001
422,2019-11-18,Yorkshire and The Humber,3486.0,3409349.0,109.13499999999999
423,2019-11-25,East,6045.0,5593193.0,112.365
424,2019-11-25,East Midlands,4413.0,4176674.0,108.80499999999999
425,2019-11-25,London,1275.0,1676305.0,114.86999999999999
426,2019-11-25,North East,1191.0,1098992.0,113.25
427,2019-11-25,North West,2231.0,2059580.0,105.71999999999998
428,2019-11-25,South East,1552.0,1580655.0,95.19500000000001
429,2019-11-25,South West,3855.0,3283949.0,107.55499999999998
430,2019-11-25,West Midlands,812.0,989687.0,95.665
431,2019-11-25,Yorkshire and The Humber,3397.0,3409969.0,106.15000000000002
432,2019-12-02,East,6048.0,5594761.0,112.17500000000001
433,2019-12-02,East Midlands,4385.0,4178576.0,107.89500000000001
434,2019-12-02,London,1256.0,1677558.0,112.345
435,2019-12-02,North East,1173.0,1098998.0,111.39500000000001
436,2019-12-02,North West,2245.0,2059608.0,106.34
437,2019-12-02,South East,1550.0,1580836.0,95.175
438,2019-12-02,South West,4004.0,3285916.0,111.385
439,2019-12-02,West Midlands,815.0,989781.0,96.06499999999998
440,2019-12-02,Yorkshire and The Humber,3491.0,3410426.0,108.985
441,2019-12-09,East,5989.0,5595942.0,111.17000000000002
442,2019-12-09,East Midlands,4374.0,4179369.0,107.49499999999999
443,2019-12-09,London,1223.0,1679025.0,109.965
444,2019-12-09,North East,1191.0,1099125.0,112.32
445,2019-12-09,North West,2337.0,2059685.0,110.63500000000002
446,2019-12-09,South East,1613.0,1580982.0,98.805
447,2019-12-09,South West,3925.0,3287151.0,109.36999999999999
448,2019-12-09,West Midlands,806.0,989844.0,95.00000000000001
449,2019-12-09,Yorkshire and The Humber,3414.0,3410643.0,106.68500000000002
450,2019-12-16,East,6039.0,5597237.0,112.00999999999999
451,2019-12-16,East Midlands,4478.0,4179854.0,110.05000000000001
452,2019-12-16,London,1314.0,1679804.0,117.635
453,2019-12-16,North East,1179.0,1099212.0,111.815
454,2019-12-16,North West,2297.0,2059799.0,108.78999999999999
455,2019-12-16,South East,1584.0,1581046.0,97.265
456,2019-12-16,South West,3868.0,3288188.0,107.73
457,2019-12-16,West Midlands,784.0,989898.0,92.62
458,2019-12-16,Yorkshire and The Humber,3452.0,3410837.0,107.88
459,2019-12-23,East,3769.0,5598542.0,69.735
460,2019-12-23,East Midlands,2879.0,4180198.0,70.995
